Country,Employement,Education,Major,DevType,Target
Kenya,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Full-stack developer,Full-stack developer
United Kingdom,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A natural science (ex. biology, chemistry, physics)",Database administrator,Database administrator
United States,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",Database administrator,Database administrator
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
South Africa,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Data or business analyst,Data or business analyst
United Kingdom,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
Nigeria,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Designer,Designer
United States,Employed full-time,Some college/university study without earning a degree,"Fine arts or performing arts (ex. graphic design, music, studio art)",Full-stack developer,Full-stack developer
India,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Designer,Designer
Spain,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Information systems, information technology, or system administration",Back-end developer,Back-end developer
India,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Front-end developer,Front-end developer
Croatia,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
India,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Full-stack developer,Full-stack developer
Netherlands,Employed full-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","A natural science (ex. biology, chemistry, physics)",Front-end developer,Front-end developer
Israel,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",Full-stack developer,Full-stack developer
United States,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
Sweden,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","A business discipline (ex. accounting, finance, marketing)",Back-end developer,Back-end developer
India,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)",Mathematics or statistics,Data or business analyst,Data or business analyst
Chile,Employed part-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","A business discipline (ex. accounting, finance, marketing)",Back-end developer,Back-end developer
Australia,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Database administrator,Database administrator
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United Kingdom,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,Some college/university study without earning a degree,"A business discipline (ex. accounting, finance, marketing)",Full-stack developer,Full-stack developer
India,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Mobile developer,Mobile developer
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Fine arts or performing arts (ex. graphic design, music, studio art)",Front-end developer,Front-end developer
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
Poland,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Designer,Designer
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United Kingdom,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
Belgium,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
Argentina,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
Germany,Employed part-time,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","A natural science (ex. biology, chemistry, physics)",Front-end developer,Front-end developer
India,Employed full-time,Some college/university study without earning a degree,"Another engineering discipline (ex. civil, electrical, mechanical)",Designer,Designer
Russian Federation,Employed full-time,Some college/university study without earning a degree,"Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Another engineering discipline (ex. civil, electrical, mechanical)",Back-end developer,Back-end developer
India,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Front-end developer,Front-end developer
India,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
United States,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Data or business analyst,Data or business analyst
Indonesia,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Mobile developer,Mobile developer
United States,Employed full-time,Associate degree,"Computer science, computer engineering, or software engineering",DevOps specialist,DevOps specialist
United States,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,"Bachelor’s degree (BA, BS, B.Eng., etc.)","Computer science, computer engineering, or software engineering",Back-end developer,Back-end developer
United States,Employed full-time,"Master’s degree (MA, MS, M.Eng., MBA, etc.)","Computer science, computer engineering, or software engineering",Full-stack developer,Full-stack developer
