Country,Employement,Education,Major,DevType,Target
18,1,1,9,6,6
31,0,1,3,2,2
32,0,0,6,2,2
32,0,1,6,6,6
25,0,4,6,1,1
31,0,1,6,0,0
32,0,4,6,0,0
21,0,1,6,3,3
32,0,4,7,6,6
13,0,1,6,3,3
26,0,2,8,0,0
13,0,1,5,5,5
8,0,4,6,0,0
13,0,1,5,6,6
20,0,3,3,5,5
16,0,2,7,6,6
32,1,1,6,6,6
27,0,2,0,0,0
13,0,1,9,1,1
6,1,1,0,0,0
1,0,1,5,2,2
32,0,1,6,0,0
31,0,1,6,0,0
32,0,4,0,6,6
13,0,2,6,7,7
32,0,1,7,5,5
32,0,1,6,6,6
22,0,2,6,3,3
32,0,1,6,0,0
31,0,2,6,6,6
3,0,1,6,0,0
0,0,4,6,0,0
32,0,2,6,6,6
11,1,3,3,5,5
13,0,4,5,3,3
23,0,4,6,6,6
32,0,1,5,0,0
13,0,1,6,5,5
13,0,2,6,6,6
32,0,2,6,0,0
32,0,2,6,1,1
14,0,1,6,7,7
32,0,0,6,4,4
32,0,2,6,0,0
32,0,1,6,0,0
32,0,2,6,6,6
11,0,4,6,0,0
13,0,1,3,3,3
11,0,3,3,5,5
15,0,4,8,0,0
10,1,1,6,0,0
30,0,2,6,0,0
31,0,1,6,7,7
11,0,1,6,0,0
25,0,4,6,0,0
11,1,3,3,3,3
32,0,0,6,0,0
2,0,3,3,3,3
32,0,2,6,0,0
4,0,1,6,6,6
28,0,1,6,5,5
30,0,2,5,7,7
33,0,1,6,6,6
5,0,1,2,3,3
17,0,1,6,0,0
24,0,2,6,1,1
1,0,1,6,0,0
13,0,1,5,1,1
13,0,2,6,6,6
13,0,1,6,5,5
16,0,1,6,7,7
13,0,1,6,7,7
31,0,4,3,0,0
17,0,3,3,3,3
29,0,3,3,3,3
13,0,2,6,7,7
17,0,2,6,6,6
9,1,3,3,5,5
30,0,2,7,1,1
32,0,1,9,1,1
13,0,1,6,0,0
31,0,1,6,6,6
32,0,1,6,6,6
11,0,4,6,6,6
10,1,1,6,6,6
13,0,1,6,0,0
22,0,1,6,6,6
13,0,2,6,2,2
13,0,1,6,0,0
32,0,1,8,0,0
12,0,1,5,3,3
13,0,1,5,1,1
7,0,0,6,0,0
19,0,1,6,0,0
8,0,4,7,5,5
22,0,2,5,0,0
32,0,1,4,5,5
4,0,1,6,7,7
11,0,2,6,4,4
14,0,1,6,0,0
31,0,1,6,0,0
24,0,2,6,0,0
32,0,1,1,6,6
